FUSION;14995;;Latitude;45° 10' 43.39 N;Longitude;04° 48' 57.71 E;;2023/06/02
Time;LAeq;LAeqsT;LAexPT;Leq 1/3;6.3 Hz;8 Hz;10 Hz;12.5 Hz;16 Hz;20 Hz;25 Hz;31.5 Hz;40 Hz;50 Hz;63 Hz;80 Hz;100 Hz;125 Hz;160 Hz;200 Hz;250 Hz;315 Hz;400 Hz;500 Hz;630 Hz;800 Hz;1 kHz;1.25 kHz;1.6 kHz;2 kHz;2.5 kHz;3.15 kHz;4 kHz;5 kHz;6.3 kHz;8 kHz;10 kHz;12.5 kHz;16 kHz;20 kHz;Latitude;Longitude;Satellites;Validity
01:58:37;46.6;;50.0;;27.0;29.9;38.5;36.4;57.0;53.8;43.1;59.8;64.6;53.4;51.7;54.0;44.0;48.4;46.5;40.7;37.2;41.1;39.9;41.1;38.8;35.2;34.5;35.2;36.2;32.8;30.0;27.5;22.8;18.6;12.9;8.8;6.3;6.8;8.4;9.4;45° 10' 43.33 N;04° 48' 57.47 E;5;1
01:58:38;46.9;;50.0;;29.9;36.5;37.0;42.4;58.4;55.9;40.4;59.8;63.0;51.1;52.1;53.4;44.0;48.3;47.6;41.6;37.8;40.0;42.6;41.0;38.6;35.6;34.8;34.3;36.3;32.9;29.5;27.5;22.8;18.4;12.9;9.0;6.5;6.6;8.6;9.6;45° 10' 43.33 N;04° 48' 57.47 E;5;1
01:58:39;46.4;;50.0;;30.9;31.5;33.0;37.0;57.2;54.4;40.6;59.9;65.4;53.8;52.1;54.4;44.2;48.6;47.0;40.0;37.9;40.3;38.4;40.7;38.2;35.4;35.0;34.5;36.1;33.6;29.7;27.6;23.0;18.4;13.1;8.9;6.2;6.6;8.5;9.5;45° 10' 43.33 N;04° 48' 57.47 E;5;1
01:58:40;46.4;;50.0;;23.7;33.0;35.3;36.2;56.0;53.2;39.3;59.9;65.4;53.1;52.0;54.7;45.7;46.0;47.2;40.8;38.2;40.2;37.2;39.7;39.1;34.8;35.3;35.0;35.9;33.3;29.8;27.2;22.9;18.0;12.9;8.9;6.2;6.7;8.5;9.5;45° 10' 43.33 N;04° 48' 57.47 E;5;1
01:58:41;46.4;;50.0;;23.5;30.3;33.5;38.6;55.0;51.0;39.7;59.8;64.7;52.0;51.4;53.5;45.1;47.4;46.2;40.9;38.1;39.5;42.3;40.0;38.2;35.2;34.5;33.9;35.6;33.0;29.8;27.0;22.9;18.0;13.0;8.6;5.9;6.7;8.5;9.5;45° 10' 43.33 N;04° 48' 57.47 E;5;1
01:58:42;46.6;;50.0;;15.8;27.9;34.4;37.0;56.1;52.9;37.7;60.0;64.2;51.5;52.3;54.2;45.3;49.0;47.1;41.2;38.6;40.5;38.7;40.0;39.6;34.9;34.2;34.9;36.5;33.2;30.2;27.0;22.6;17.8;12.7;8.6;6.3;6.6;8.5;9.5;45° 10' 43.33 N;04° 48' 57.47 E;5;1
01:58:43;46.6;;50.0;;29.1;27.9;40.6;44.4;57.2;54.9;39.7;60.2;65.4;52.7;50.9;53.9;44.6;47.8;46.7;39.5;38.0;40.6;39.5;41.2;38.9;35.4;34.9;34.3;36.6;33.2;30.0;27.5;22.3;18.0;12.8;8.8;6.2;6.4;8.5;9.5;45° 10' 43.33 N;04° 48' 57.47 E;5;1
01:58:44;46.5;;50.0;;29.0;31.1;34.9;45.9;57.5;55.1;42.3;59.8;63.2;52.9;51.8;53.5;43.7;48.7;48.0;40.1;37.5;39.4;41.3;40.3;38.6;35.8;34.5;34.3;36.3;32.9;30.0;26.9;22.4;17.9;13.1;9.1;6.2;6.5;8.5;9.5;45° 10' 43.33 N;04° 48' 57.47 E;5;1
01:58:45;46.4;;50.0;;28.8;30.4;35.4;42.3;56.9;53.6;41.9;60.1;64.7;53.0;51.9;53.4;43.2;47.0;47.2;40.4;37.6;40.1;41.7;40.0;38.2;35.0;34.6;34.5;35.9;32.9;29.8;27.2;22.3;18.1;12.8;8.8;6.0;6.5;8.5;9.5;45° 10' 43.33 N;04° 48' 57.47 E;5;1
01:58:46;46.7;;50.0;;32.6;29.3;38.3;43.3;56.0;53.2;40.0;59.8;62.9;48.7;51.4;53.1;43.9;47.9;46.3;40.1;38.0;39.3;42.2;41.1;39.0;35.5;34.3;34.4;36.4;33.4;30.0;27.1;22.3;18.0;12.8;8.9;6.2;6.5;8.6;9.5;45° 10' 43.33 N;04° 48' 57.47 E;5;1
01:58:47;46.6;;50.0;;27.4;33.3;35.7;46.7;55.6;52.1;39.2;60.2;63.8;51.5;51.0;53.0;45.0;47.8;46.2;41.9;39.2;39.9;41.8;40.5;38.3;36.0;34.1;34.6;36.4;32.7;29.9;27.1;22.4;18.0;12.9;8.9;6.3;6.6;8.5;9.7;45° 10' 43.39 N;04° 48' 57.20 E;5;1
01:58:48;46.4;;50.0;;27.9;23.4;35.7;43.5;57.7;55.1;41.1;59.9;65.4;53.4;51.2;53.6;44.6;48.3;47.1;40.3;37.5;40.5;39.0;39.6;38.6;35.5;34.2;35.0;36.4;33.0;29.9;27.3;22.6;18.3;13.0;9.3;7.0;6.7;8.5;9.5;45° 10' 43.39 N;04° 48' 57.20 E;5;1
01:58:49;46.9;;50.0;;27.9;31.2;33.3;42.5;57.6;55.0;41.3;60.0;62.3;49.5;51.7;53.0;43.4;47.1;45.5;41.0;37.7;40.1;44.3;40.9;38.9;35.4;35.3;33.8;35.8;32.6;29.5;27.2;22.8;18.4;13.4;9.3;7.1;6.8;8.5;9.5;45° 10' 43.39 N;04° 48' 57.20 E;5;1
01:58:50;46.7;;50.0;;26.3;31.3;31.1;39.5;56.7;54.3;40.0;60.1;63.8;49.4;51.0;53.0;44.6;47.3;47.8;41.1;38.9;40.8;41.2;40.2;38.6;36.3;34.7;34.6;36.6;33.1;30.3;27.3;23.0;18.2;13.1;9.1;6.8;6.6;8.5;9.4;45° 10' 43.39 N;04° 48' 57.20 E;5;1
01:58:51;46.3;;50.0;;28.9;29.8;38.1;38.3;56.0;53.0;40.1;60.0;64.7;52.0;51.4;53.6;45.5;48.2;46.4;39.8;37.6;40.4;39.8;39.8;38.8;35.3;34.1;34.9;36.0;32.6;29.6;26.8;22.8;18.2;13.3;9.4;7.2;6.9;8.6;9.5;45° 10' 43.39 N;04° 48' 57.20 E;5;1

Duration;00:00:15
Value;Globals;Max;Min
LAeq;46.6;47.1;46.0
LAE;58.3
Leq 1/3
6.3 Hz;28.4;34.9;10.2
8 Hz;31.3;38.2;20.3
10 Hz;36.3;41.1;29.9
12.5 Hz;42.3;48.2;33.3
16 Hz;56.9;58.6;54.9
20 Hz;54.0;56.0;50.9
25 Hz;40.6;43.9;34.6
31.5 Hz;60.0;60.4;59.6
40 Hz;64.3;66.1;61.6
50 Hz;52.1;54.8;46.0
63 Hz;51.6;52.5;50.7
80 Hz;53.6;54.9;52.6
100 Hz;44.5;46.3;42.6
125 Hz;48.0;49.9;45.6
160 Hz;46.9;48.8;45.4
200 Hz;40.6;42.4;39.4
250 Hz;38.0;39.9;36.1
315 Hz;40.2;41.5;38.6
400 Hz;41.1;44.4;36.6
500 Hz;40.4;41.6;38.7
630 Hz;38.7;39.7;37.5
800 Hz;35.5;36.6;34.5
1 kHz;34.6;35.7;33.5
1.25 kHz;34.6;35.5;33.5
1.6 kHz;36.2;37.0;35.4
2 kHz;33.0;33.7;32.3
2.5 kHz;29.9;30.6;29.2
3.15 kHz;27.2;27.6;26.5
4 kHz;22.6;23.1;22.1
5 kHz;18.2;18.7;17.7
6.3 kHz;13.0;13.5;12.6
8 kHz;9.0;9.7;8.5
10 kHz;6.5;7.4;5.9
12.5 kHz;6.6;6.9;6.2
16 kHz;8.5;8.7;8.3
20 kHz;9.5;9.7;9.4
