FUSION;14995;;Latitude;00° 00' 00.00 N;Longitude;00° 00' 00.00 E;;2023/08/05
Time;LAeq;LAeqsT;LAexPT;Leq 1/3;6.3 Hz;8 Hz;10 Hz;12.5 Hz;16 Hz;20 Hz;25 Hz;31.5 Hz;40 Hz;50 Hz;63 Hz;80 Hz;100 Hz;125 Hz;160 Hz;200 Hz;250 Hz;315 Hz;400 Hz;500 Hz;630 Hz;800 Hz;1 kHz;1.25 kHz;1.6 kHz;2 kHz;2.5 kHz;3.15 kHz;4 kHz;5 kHz;6.3 kHz;8 kHz;10 kHz;12.5 kHz;16 kHz;20 kHz;Latitude;Longitude;Satellites;Validity
00:01:04;41.4;;49.6;;45.2;35.1;35.9;40.6;45.6;43.7;35.9;51.4;51.0;44.4;42.0;39.9;43.3;34.1;33.8;32.8;31.3;31.0;32.8;40.0;34.7;30.1;34.8;26.8;26.5;23.9;20.2;16.6;13.4;9.6;7.7;6.1;5.6;6.5;9.4;9.5;00° 00' 00.00 N;00° 00' 00.00 E;0;0
00:01:05;41.8;;49.6;;36.1;23.8;39.6;39.6;45.5;43.0;33.9;51.1;50.4;42.8;42.6;39.4;42.5;34.1;33.6;31.3;31.1;32.6;33.8;41.1;34.5;30.1;34.1;27.0;26.3;23.5;20.5;17.2;14.9;10.6;10.1;8.1;6.8;6.8;8.4;9.4;00° 00' 00.00 N;00° 00' 00.00 E;0;0
00:01:06;42.5;;49.6;;28.8;29.5;42.3;40.9;44.7;42.0;36.2;51.8;50.2;43.7;44.2;39.7;44.5;34.7;33.6;32.6;31.7;32.3;33.3;42.6;34.6;30.1;34.7;27.3;25.7;23.4;19.6;16.9;15.8;9.8;8.6;6.9;6.5;6.6;9.0;9.6;00° 00' 00.00 N;00° 00' 00.00 E;0;0
00:01:07;41.5;;49.6;;32.3;29.2;36.4;43.4;46.0;44.3;36.6;52.3;50.9;43.9;43.3;40.1;42.8;32.7;34.3;32.4;32.0;31.5;33.5;41.1;34.5;29.7;32.8;27.0;26.1;23.0;20.2;16.3;14.1;9.4;7.8;6.6;6.3;6.7;8.5;9.4;00° 00' 00.00 N;00° 00' 00.00 E;0;0
00:01:08;41.7;;49.6;;31.6;34.8;38.1;40.7;44.8;44.6;36.5;52.5;50.5;45.9;44.0;39.7;44.3;33.0;34.5;30.7;31.9;32.2;33.9;41.4;35.4;29.9;31.9;27.0;26.2;23.3;19.9;16.8;13.1;9.5;8.0;6.8;6.1;6.5;8.4;9.5;00° 00' 00.00 N;00° 00' 00.00 E;0;0
00:01:09;42.7;;49.6;;26.9;32.5;40.3;42.2;44.8;42.5;36.4;51.7;49.6;43.9;42.3;40.9;42.2;33.9;34.0;33.4;32.5;33.2;33.8;42.9;35.0;30.0;33.8;27.5;26.0;23.5;19.9;16.3;14.1;9.4;7.9;6.0;5.8;6.3;8.4;9.4;00° 00' 00.00 N;00° 00' 00.00 E;0;0
00:01:10;42.7;;49.6;;35.0;35.0;37.3;45.3;44.9;44.8;36.9;52.7;50.6;46.1;43.6;40.1;41.1;33.6;33.2;31.4;31.6;32.2;33.9;43.5;34.3;29.8;32.0;28.4;26.4;23.6;20.1;16.2;15.1;9.6;8.4;6.1;5.5;6.5;9.2;9.4;00° 00' 00.00 N;00° 00' 00.00 E;0;0
00:01:11;41.8;;49.6;;42.6;42.5;40.1;40.8;44.5;45.7;36.2;51.1;51.1;47.4;42.8;40.4;42.3;33.2;34.4;32.6;30.9;31.2;33.5;41.6;34.5;30.1;32.8;27.2;26.6;23.7;20.2;16.2;13.1;9.2;7.6;6.1;5.8;6.5;8.5;9.3;00° 00' 00.00 N;00° 00' 00.00 E;0;0
00:01:12;41.2;;49.6;;37.8;32.7;34.0;41.7;44.3;44.7;35.9;52.0;50.6;47.3;41.4;39.6;42.1;33.1;33.7;32.2;30.2;33.1;33.3;40.4;33.9;29.9;32.0;27.5;27.3;23.7;20.3;17.3;14.3;9.9;9.0;7.4;7.2;7.1;9.1;9.5;00° 00' 00.00 N;00° 00' 00.00 E;0;0
00:01:13;41.5;;49.6;;32.4;29.3;37.9;38.9;43.1;41.3;35.8;52.8;50.7;46.9;42.0;39.1;42.7;34.6;34.7;31.9;32.4;31.3;33.1;40.8;34.4;30.0;32.8;27.4;26.5;24.0;20.1;16.6;14.3;10.0;9.5;7.8;7.1;7.3;8.5;9.4;00° 00' 00.00 N;00° 00' 00.00 E;0;0
